;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new;BERTScore_model_answers
395;395;Do you enjoy fishing?;;;GPT-4 generated;;;;;Yes, I love fishing!;Yes, quite fond of it, actually.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not enjoy fishing.;No, I do not enjoy fishing.;Yes, I really enjoy fishing as it gives me an opportunity to connect with nature and enjoy the outdoors.;0.8796577453613281;0.6795312762260437;0.7209324836730957;1.0000001192092896
396;396;Do you like skateboarding?;;;GPT-4 generated;;;;;Yeah, skateboarding is totally rad!;Not really, not my cuppa tea.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not.;Not really, not my thing.;No, I don't really enjoy skateboarding.;0.4713452160358429;0.819993793964386;0.5497874021530151;0.6275244355201721
397;397;Do you play any racquet sports?;;;GPT-4 generated;;;;;No, I don't play racquet sports.;Yes, I play tennis and squash.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not.;No, I do not.;Yes, I love playing tennis and occasionally badminton as well.;0.5704072713851929;0.4794590175151825;0.7237366437911987;1.0000001192092896
398;398;Are you a member of a sports club?;;;GPT-4 generated;;;;;No, I am not.;Yes, I am a member.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I am not.;No, I am not.;Yes, I am a member of a sports club.;1.000000238418579;0.6443946361541748;0.6224515438079834;1.000000238418579
399;399;Do you watch eSports?;;;GPT-4 generated;;;;;No, not really into eSports.;No, not really my cuppa tea.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;No, I do not watch eSports.;No, I do not watch eSports.;Yes, I enjoy watching eSports, especially the competitive gaming aspect and the skill and strategy involved in the matches.;0.818572998046875;0.6438207626342773;0.7790600061416626;0.9999998211860657
400;400;Do you enjoy water sports?;;;GPT-4 generated;;;;;Yes, I love water sports!;Yes, absolutely love water sports!;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Yes, I enjoy water sports.;Yes, I enjoy water sports.;Yes, I love water sports, especially because they allow me to stay active and have fun while enjoying the beauty of nature.;0.9788508415222168;0.8435666561126709;0.8577982187271118;1.000000238418579
401;401;Do you read fan fiction?;;;GPT-4 generated;;;;;No, I don't read fan fiction.;Not really, not my cuppa tea.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not read fan fiction.;No, I do not read fan fiction.;Yes, I enjoy reading fan fiction, as it allows for creative exploration of characters and worlds.;0.9913946986198424;0.6001270413398743;0.5970473885536194;1.0000001192092896
402;402;Do you use TikTok?;;;GPT-4 generated;;;;;Yes, I use TikTok.;No, I do not use TikTok.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't use TikTok.;No, I do not use TikTok.;No, I don't use TikTok.;0.8981055021286011;0.9999995827674866;0.9003087878227234;0.9912427663803101
403;403;Do you watch reality TV?;;;GPT-4 generated;;;;;Yes, I love reality TV!;No, not my cup of tea.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy watching reality TV.;No, I prefer traditional English activities.;No, I don't watch reality TV because I prefer to spend my leisure time on more meaningful activities.;0.9592725038528442;0.6323952674865723;0.6434290409088135;0.7235093116760254
404;404;Do you watch late-night talk shows?;;;GPT-4 generated;;;;;Sometimes, when I'm not too tired.;Sometimes, when I'm not knackered.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I prefer other entertainment options.;No, I prefer the countryside tranquility.;Yes, I enjoy watching late-night talk shows because I find them entertaining and a good way to unwind at the end of the day.;0.5722681879997253;0.5258036851882935;0.91119122505188;0.7802319526672363
405;405;Do you follow any webcomics?;;;GPT-4 generated;;;;;Yeah, I love webcomics!;No, not really into webcomics.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't follow webcomics.;No, I do not.;Yes, I follow a few webcomics that align with my interests and values.;0.8279776573181152;0.4955679774284363;0.8221981525421143;0.5692588686943054
406;406;Do you enjoy historical dramas?;;;GPT-4 generated;;;;;Yes, I love historical dramas!;Yes, absolutely love historical dramas!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy historical dramas.;Yes, I enjoy historical dramas.;Yes, I enjoy historical dramas because they provide insight into different time periods and cultures.;0.9769846200942992;0.8470408916473389;0.8617258667945862;0.9999998807907104
407;407;Do you listen to talk radio?;;;GPT-4 generated;;;;;Sometimes, when I'm in the mood.;Yes, quite fond of talk radio.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't listen to talk radio.;No, I do not.;Yes, I listen to talk radio occasionally.;0.6068629026412964;0.5188444256782532;0.6257902383804321;0.6207108497619629
408;408;Are you into true crime stories?;;;GPT-4 generated;;;;;Yes, I love true crime stories!;Absolutely, can't get enough!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Not really, prefer lighter entertainment.;Not really, prefer peaceful stories.;Yes, I find true crime stories fascinating as they give insight into human nature and the criminal justice system.;0.6616630554199219;0.5706055760383606;0.5716668367385864;0.8954787254333496
409;409;Do you enjoy documentaries?;;;GPT-4 generated;;;;;Some are interesting, but not all.;Absolutely, can't get enough!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy documentaries.;Yes, I enjoy documentaries.;Yes, I do enjoy documentaries because I find them informative and thought-provoking.;0.5698308944702148;0.5860307216644287;0.5348761677742004;1.0
410;410;Do you prefer subbed or dubbed movies?;;;GPT-4 generated;;;;;Subbed movies, for sure!;Subbed, it's more authentic, innit?;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Subbed movies, more authentic cultural experience.;Subbed movies.;I prefer subbed movies because I like to hear the original voices of the actors and experience the story as it was intended by the filmmakers.;0.7165765166282654;1.0;0.6543937921524048;1.0
411;411;Do you like live theater?;;;GPT-4 generated;;;;;Yes, I love live theater!;Absolutely, I adore live theater!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy live theater.;Yes, I enjoy live theater.;Yes, I love live theater because of the raw emotion and energy that comes from the performances on stage.;0.9737447500228882;0.8971121311187744;0.9032968878746032;1.0000001192092896
412;412;Do you prefer digital art or traditional art?;;;GPT-4 generated;;;;;Digital art all the way, dude!;Traditional art, it's simply splendid!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Traditional art, it's more authentic.;Traditional art, it's timeless and authentic.;I prefer traditional art because I enjoy the tactile experience and the connection to the materials.;0.6406049728393555;0.813072919845581;0.6786429286003113;0.8314083218574524
413;413;Do you enjoy jazz music?;;;GPT-4 generated;;;;;Yes, I love jazz music!;Absolutely, it's simply marvelous!;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy jazz music.;Yes, I enjoy jazz music.;Yes, I enjoy jazz music because it is unique, expressive, and has a rich history.;0.975710928440094;0.6046673059463501;0.6290813088417053;1.0000001192092896
414;414;Do you like abstract art?;;;GPT-4 generated;;;;;Not really, prefer more realistic art.;Not really, prefer more traditional art.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I appreciate abstract art.;Yes, I appreciate abstract art.;Yes, I appreciate abstract art for its ability to evoke emotions and interpretations.;0.6687592267990112;0.6511037349700928;0.9134778380393982;1.0000001192092896
415;415;Do you follow any art blogs or channels?;;;GPT-4 generated;;;;;No, I don't follow any.;No, I don't follow any.;Entertainment & Arts;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;No, I don't follow art blogs.;No, I don't follow any.;Yes, I follow a few art blogs and channels that showcase different forms of art and provide valuable insights into the art world.;0.8490397930145264;1.0000003576278689;1.0000003576278689;0.8080704808235168
416;416;Do you listen to opera?;;;GPT-4 generated;;;;;No, not really into opera.;Yes, I do. It's quite lovely.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not listen to opera.;Yes, I enjoy listening to opera.;Yes, I love listening to opera!;0.8052666187286377;0.6193807125091553;0.580334484577179;0.81998211145401
417;417;Do you enjoy craft fairs?;;;GPT-4 generated;;;;;Yes, I love craft fairs!;Yes, quite fond of craft fairs.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy craft fairs.;Yes, I enjoy craft fairs.;Yes, I enjoy craft fairs because I appreciate the creativity and skill of the artisans and love finding unique and handmade items.;0.9705145955085754;0.8745715022087097;0.895423412322998;1.0000001192092896
418;418;Do you collect any art pieces?;;;GPT-4 generated;;;;;No, I don't collect art pieces.;Yes, I collect some art pieces.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I do not collect art.;No, I do not collect art.;Yes, I collect paintings and sculptures that resonate with me and reflect meaningful themes or emotions.;0.9558107256889344;0.7900879383087158;0.8081611394882202;0.9999999403953552
419;419;Have you ever been to an art auction?;;;GPT-4 generated;;;;;No, never been to one.;Yes, quite a few times, actually.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I haven't been to one.;No, I haven't been to one.;Yes, I have been to an art auction and it was a fascinating experience.;0.9082164168357848;0.6148252487182617;0.5314503908157349;1.0
420;420;Do you enjoy performance art?;;;GPT-4 generated;;;;;Yes, I love performance art!;Yes, quite fond of it.;Entertainment & Arts;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I enjoy performance art.;Yes, I enjoy performance art.;Yes, I enjoy performance art because it can be a powerful way to express complex ideas and emotions.;0.968777596950531;0.7215729355812073;0.6706605553627014;1.0000001192092896
421;421;Do you follow seasonal fashion trends?;;;GPT-4 generated;;;;;Yes, I follow seasonal fashion trends.;Yes, quite fond of seasonal fashion.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Yes, I follow seasonal fashion trends.;Yes, I do follow seasonal trends.;Yes, I like to incorporate some seasonal trends into my wardrobe, but I also prioritize timeless and sustainable pieces.;0.9999998211860656;0.7799490690231323;0.7939642667770386;0.923515796661377
422;422;Do you own any designer clothes?;;;GPT-4 generated;;;;;No, I don't own any.;No, I don't own any.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I don't own any.;No, I do not.;Yes, I do own some designer clothes, but I don't prioritize them over the quality and comfort of the clothing.;1.000000238418579;0.7127149701118469;1.000000238418579;0.7127149701118469
423;423;Do you wear graphic tees?;;;GPT-4 generated;;;;;Yes, I love wearing graphic tees!;No, I prefer more sophisticated attire.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;No, I prefer more formal attire.;No, I prefer traditional English attire.;Yes, I do wear graphic tees sometimes, especially when I want to express something I believe in or support.;0.7556066513061523;0.931982159614563;0.7616127729415894;0.9314444065093994
424;424;Do you prefer leather or synthetic materials?;;;GPT-4 generated;;;;;Leather all the way, baby!;Leather, it's simply more refined.;Fashion & Style;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Leather, it's classic and durable.;Leather, it exudes elegance and durability.;I prefer synthetic materials because they are often more sustainable and cruelty-free than leather.;0.6329180598258972;0.8054208159446716;0.6456009745597839;0.888298511505127
